test_id,n_nodes,n_edges,batch_size,fanout,seed,epochs,total_time_s,avg_epoch_time_s,avg_throughput_nodes_per_s,peak_cpu_memory_mb,peak_gpu_memory_mb,git_hash,device
scale_500n_256b_10f_42s,500,24894,256,10,42,1,0.25082826614379883,0.1323103904724121,3778.992702045229,328.08984375,0,1434befb,cpu
scale_1000n_256b_10f_42s,1000,99784,256,10,42,1,0.1525411605834961,0.03410983085632324,29317.061237042784,352.5390625,0,1434befb,cpu
scale_2000n_256b_10f_42s,2000,399600,256,10,42,1,0.2030501365661621,0.09318971633911133,21461.595534019332,460.5703125,0,1434befb,cpu
