run_id,config,config_hash,seed,git_hash,mode,runtime_s,node_count,edge_count,peak_mem_mb,accuracy,auc,f1,precision,recall,tp,fp,fn,tn
ablation_020_fb5dd28c_123,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'dropedge'}",fb5dd28c,123,1434befb,lite,1.0636184215545654,1000,0,0.0,0.4650000035762787,0.5,0.6348122866894198,0.465,1.0,93,107,0,0
ablation_021_fb5dd28c_456,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'dropedge'}",fb5dd28c,456,1434befb,lite,0.6788525581359863,1000,0,0.0,0.5049999952316284,0.5299999713897705,0.6710963455149502,0.505,1.0,101,99,0,0
ablation_022_55ef2988_42,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'spectral'}",55ef2988,42,1434befb,lite,0.7901701927185059,1000,0,0.0,0.4950000047683716,0.5400000214576721,0.6622073578595317,0.495,1.0,99,101,0,0
ablation_023_55ef2988_123,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'spectral'}",55ef2988,123,1434befb,lite,0.701103687286377,1000,0,0.0,0.4650000035762787,0.5,0.6348122866894198,0.465,1.0,93,107,0,0
ablation_024_55ef2988_456,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': True, 'use_spottarget': True, 'use_gsampler': True, 'use_rg_defense': 'spectral'}",55ef2988,456,1434befb,lite,0.7276766300201416,1000,0,0.0,0.5049999952316284,0.5,0.6710963455149502,0.505,1.0,101,99,0,0
ablation_025_032842db_42,"{'use_cusp': False, 'use_hypergraph': False, 'use_memory': False, 'use_spottarget': True, 'use_gsampler': False, 'use_rg_defense': 'spectral'}",032842db,42,1434befb,lite,0.05812573432922363,1000,0,0.0,0.5350000262260437,0.5199999809265137,0.6008583690987124,0.5223880597014925,0.7070707070707071,70,64,29,37
ablation_026_032842db_123,"{'use_cusp': False, 'use_hypergraph': False, 'use_memory': False, 'use_spottarget': True, 'use_gsampler': False, 'use_rg_defense': 'spectral'}",032842db,123,1434befb,lite,0.05407404899597168,1000,0,0.0,0.5550000071525574,0.5099999904632568,0.6079295154185023,0.5149253731343284,0.7419354838709677,69,65,24,42
ablation_027_032842db_456,"{'use_cusp': False, 'use_hypergraph': False, 'use_memory': False, 'use_spottarget': True, 'use_gsampler': False, 'use_rg_defense': 'spectral'}",032842db,456,1434befb,lite,0.04961419105529785,1000,0,0.0,0.5099999904632568,0.5099999904632568,0.6397058823529411,0.5087719298245614,0.8613861386138614,87,84,14,15
ablation_028_b1a42a5e_42,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': False, 'use_spottarget': False, 'use_gsampler': True, 'use_rg_defense': 'spectral'}",b1a42a5e,42,1434befb,lite,0.5578892230987549,1000,0,0.0,0.4950000047683716,0.5,0.6622073578595317,0.495,1.0,99,101,0,0
ablation_029_b1a42a5e_123,"{'use_cusp': True, 'use_hypergraph': True, 'use_memory': False, 'use_spottarget': False, 'use_gsampler': True, 'use_rg_defense': 'spectral'}",b1a42a5e,123,1434befb,lite,0.4926893711090088,1000,0,0.0,0.4650000035762787,0.5299999713897705,0.6348122866894198,0.465,1.0,93,107,0,0
